frame.time_relative,frame.time_delta,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,udp.length
0.000000000,0.000000000,74,127.0.0.1,127.0.0.1,59034,8000,0x0002,
0.000068875,0.000068875,74,127.0.0.1,127.0.0.1,8000,59034,0x0012,
0.000131000,0.000062125,66,127.0.0.1,127.0.0.1,59034,8000,0x0010,
0.000330000,0.000199000,144,127.0.0.1,127.0.0.1,59034,8000,0x0018,
0.000336959,0.000006959,66,127.0.0.1,127.0.0.1,8000,59034,0x0010,
0.006231709,0.005894750,222,127.0.0.1,127.0.0.1,8000,59034,0x0018,
0.006254250,0.000022541,66,127.0.0.1,127.0.0.1,59034,8000,0x0010,
0.006342375,0.000088125,1711,127.0.0.1,127.0.0.1,8000,59034,0x0018,
0.006348709,0.000006334,66,127.0.0.1,127.0.0.1,59034,8000,0x0010,
0.006399625,0.000050916,66,127.0.0.1,127.0.0.1,59034,8000,0x0011,
0.006498542,0.000098917,66,127.0.0.1,127.0.0.1,8000,59034,0x0011,
0.006513709,0.000015167,66,127.0.0.1,127.0.0.1,59034,8000,0x0010,
